agg_trade_id,price,quantity,first_trade_id,last_trade_id,transact_time,is_buyer_maker
1253529,114431.9,59.0,2179127,2179128,1758588804886,true
1253530,114419.1,104.0,2179129,2179130,1758588848217,true
1253531,114400.0,56.0,2179131,2179132,1758588853494,true
1253532,114387.4,6.0,2179133,2179133,1758588904374,false
1253533,114387.4,21.0,2179134,2179134,1758588904538,false
1253534,114387.4,6.0,2179135,2179135,1758588904639,false
1253535,114387.4,51.0,2179136,2179139,1758588904919,false
1253536,114387.3,8.0,2179140,2179140,1758588947534,true
1253537,114386.9,5.0,2179141,2179141,1758588947534,true
1253538,114382.1,554.0,2179142,2179151,1758588969202,false
1253539,114387.2,64.0,2179152,2179152,1758588969202,false
1253540,114387.3,104.0,2179153,2179153,1758588969203,false
1253541,114387.4,108.0,2179154,2179154,1758588969203,false
1253542,114390.1,147.0,2179155,2179158,1758588975835,true
1253543,114390.1,119.0,2179159,2179164,1758589045291,false
1253544,114390.2,29.0,2179165,2179165,1758589045292,false
1253545,114398.2,1.0,2179166,2179166,1758589045312,false
1253546,114409.7,72.0,2179167,2179169,1758589094758,false
1253547,114418.7,200.0,2179170,2179170,1758589094758,false
1253548,114421.2,1.0,2179171,2179171,1758589094758,false
1253549,114421.5,22.0,2179172,2179172,1758589094758,false
1253550,114427.6,47.0,2179173,2179173,1758589094758,false
1253551,114430.5,7.0,2179174,2179174,1758589094758,false
1253552,114430.6,105.0,2179175,2179175,1758589094758,false
1253553,114430.7,25.0,2179176,2179176,1758589094758,false
1253554,114431.4,2.0,2179177,2179177,1758589094758,false
1253555,114432.7,1.0,2179178,2179178,1758589094758,false
1253556,114433.4,63.0,2179179,2179179,1758589094758,false
1253557,114433.5,108.0,2179180,2179180,1758589094758,false
1253558,114433.9,102.0,2179181,2179181,1758589094758,false
1253559,114440.0,263.0,2179182,2179182,1758589094763,true
1253560,114440.0,543.0,2179183,2179185,1758589113240,true
1253561,114420.1,17.0,2179186,2179187,1758589159690,true
1253562,114397.4,5.0,2179188,2179188,1758589201209,false
1253563,114409.7,125.0,2179189,2179195,1758589207367,false
1253564,114409.7,40.0,2179196,2179197,1758589215880,false
1253565,114425.5,55.0,2179198,2179199,1758589223531,false
1253566,114429.7,66.0,2179200,2179201,1758589243178,true
1253567,114412.9,218.0,2179202,2179205,1758589278501,false
1253568,114413.3,19.0,2179206,2179206,1758589278501,false
1253569,114413.4,64.0,2179207,2179207,1758589278501,false
1253570,114418.6,38.0,2179208,2179208,1758589278501,false
1253571,114419.5,106.0,2179209,2179209,1758589278501,false
1253572,114419.6,21.0,2179210,2179210,1758589278501,false
1253573,114422.3,33.0,2179211,2179211,1758589278501,false
1253574,114425.6,2.0,2179212,2179212,1758589278501,false
1253575,114425.8,108.0,2179213,2179213,1758589278501,false
1253576,114427.7,11.0,2179214,2179214,1758589278501,false
1253577,114427.8,10.0,2179215,2179215,1758589278501,false
1253578,114429.8,25.0,2179216,2179216,1758589278501,false
1253579,114432.7,1.0,2179217,2179217,1758589278501,false
1253580,114441.3,25.0,2179218,2179218,1758589278501,false
1253581,114444.2,1.0,2179219,2179219,1758589278501,false
1253582,114450.9,51.0,2179220,2179221,1758589278501,false
1253583,114451.0,102.0,2179222,2179222,1758589278501,false
1253584,114455.7,26.0,2179223,2179224,1758589278501,false
1253585,114460.5,13.0,2179225,2179225,1758589278501,false
1253586,114460.6,270.0,2179226,2179226,1758589278501,false
1253587,114429.8,4.0,2179227,2179227,1758589296192,true
1253588,114403.9,100.0,2179228,2179231,1758589329545,false
1253589,114403.8,65.0,2179232,2179233,1758589355350,true
1253590,114388.1,65.0,2179234,2179235,1758589399592,true
1253591,114382.0,1.0,2179236,2179236,1758589399620,true
1253592,114380.2,5.0,2179237,2179237,1758589413491,false
1253593,114396.1,59.0,2179238,2179239,1758589428926,true
1253594,114380.3,6.0,2179240,2179241,1758589449960,false
1253595,114394.1,5.0,2179242,2179242,1758589547649,false
1253596,114407.6,80.0,2179243,2179245,1758589556121,false
1253597,114409.7,93.0,2179246,2179247,1758589556121,false
1253598,114409.8,108.0,2179248,2179248,1758589556121,false
1253599,114415.9,200.0,2179249,2179249,1758589556121,false
1253600,114417.4,10.0,2179250,2179250,1758589556121,false
1253601,114420.1,4.0,2179251,2179251,1758589556121,false
1253602,114421.2,1.0,2179252,2179252,1758589556121,false
1253603,114424.1,24.0,2179253,2179253,1758589556121,false
1253604,114428.3,2.0,2179254,2179254,1758589556121,false
1253605,114432.7,1.0,2179255,2179255,1758589556121,false
1253606,114441.2,11.0,2179256,2179256,1758589556121,false
1253607,114441.3,12.0,2179257,2179257,1758589556121,false
1253608,114441.4,24.0,2179258,2179258,1758589556121,false
1253609,114444.2,1.0,2179259,2179259,1758589556121,false
1253610,114445.6,40.0,2179260,2179261,1758589556122,false
1253611,114445.7,102.0,2179262,2179262,1758589556122,false
1253612,114450.0,263.0,2179263,2179263,1758589556126,true
1253613,114450.0,1.0,2179264,2179264,1758589556900,true
1253614,114450.0,84.0,2179265,2179266,1758589558532,true
1253615,114450.0,85.0,2179267,2179268,1758589563605,true
1253616,114450.0,57.0,2179269,2179270,1758589563782,true
1253617,114421.4,59.0,2179271,2179272,1758589566951,true
1253618,114403.5,113.0,2179273,2179276,1758589577201,false
1253619,114406.6,22.0,2179277,2179277,1758589577201,false
1253620,114418.4,3.0,2179278,2179278,1758589596541,true
1253621,114410.0,271.0,2179279,2179281,1758589614115,true
1253622,114392.5,1.0,2179282,2179282,1758589654557,false
1253623,114392.5,2.0,2179283,2179283,1758589662909,false
1253624,114392.5,7.0,2179284,2179284,1758589663206,false
1253625,114392.5,3.0,2179285,2179285,1758589668281,false
1253626,114409.1,3.0,2179286,2179286,1758589676155,true
1253627,114395.4,3.0,2179287,2179287,1758589784270,true
1253628,114380.2,2.0,2179288,2179288,1758589804022,false
1253629,114380.2,20.0,2179289,2179291,1758589804289,false
1253630,114380.2,2.0,2179292,2179292,1758589804408,false
1253631,114380.2,8.0,2179293,2179293,1758589804900,false
1253632,114380.2,7.0,2179294,2179295,1758589819831,false
1253633,114409.6,65.0,2179296,2179297,1758589880298,true
1253634,114398.2,64.0,2179298,2179298,1758589881588,true
1253635,114380.1,69.0,2179299,2179300,1758589924746,true
1253636,114368.3,72.0,2179301,2179302,1758589927045,true
1253637,114345.4,56.0,2179303,2179303,1758589948467,true
1253638,114342.5,543.0,2179304,2179304,1758589948467,true
1253639,114342.5,1.0,2179305,2179305,1758589949181,true
1253640,114342.5,1.0,2179306,2179306,1758589955801,true
1253641,114342.5,1322.0,2179307,2179309,1758589956335,true
1253642,114341.0,186.0,2179310,2179310,1758589956339,true
1253643,114329.1,1.0,2179311,2179311,1758589956350,true
1253644,114311.3,6.0,2179312,2179313,1758589973591,false
1253645,114329.0,3.0,2179314,2179314,1758589980780,false
1253646,114340.5,13.0,2179315,2179315,1758589987320,true
1253647,114340.5,3.0,2179316,2179316,1758590010232,true
1253648,114319.0,3.0,2179317,2179318,1758590022870,false
1253649,114352.2,66.0,2179319,2179319,1758590042490,false
1253650,114375.1,3.0,2179320,2179320,1758590043857,true
1253651,114352.4,3.0,2179321,2179321,1758590047716,false
1253652,114374.9,3.0,2179322,2179322,1758590069468,true
1253653,114322.2,3.0,2179323,2179323,1758590124215,false
1253654,114352.2,58.0,2179324,2179324,1758590147931,false
1253655,114375.2,65.0,2179325,2179326,1758590163826,false
1253656,114381.2,4.0,2179327,2179327,1758590163826,false
1253657,114386.7,69.0,2179328,2179329,1758590163849,false
1253658,114386.7,25.0,2179330,2179331,1758590163955,false
1253659,114388.0,48.0,2179332,2179334,1758590163956,false
1253660,114388.0,37.0,2179335,2179337,1758590164397,false
1253661,114388.0,22.0,2179338,2179340,1758590164508,false
1253662,114388.0,22.0,2179341,2179342,1758590164772,false
1253663,114428.5,1.0,2179343,2179343,1758590272349,false
1253664,114444.2,1.0,2179344,2179344,1758590272513,false
1253665,114444.2,6.0,2179345,2179345,1758590293770,false
1253666,114513.1,4.0,2179346,2179349,1758590309361,true
1253667,114484.4,4.0,2179350,2179350,1758590327503,true
1253668,114483.9,58.0,2179351,2179351,1758590327503,true
1253669,114455.9,5.0,2179352,2179354,1758590346579,false
1253670,114468.3,4.0,2179355,2179355,1758590360647,true
1253671,114410.5,3.0,2179356,2179357,1758590396125,false
1253672,114417.7,50.0,2179358,2179359,1758590398011,false
1253673,114455.7,124.0,2179360,2179364,1758590430116,false
1253674,114456.0,2.0,2179365,2179365,1758590439682,true
1253675,114455.9,2.0,2179366,2179366,1758590465655,false
1253676,114465.9,46.0,2179367,2179369,1758590465992,false
1253677,114507.1,50.0,2179370,2179371,1758590509804,true
1253678,114507.1,2.0,2179372,2179372,1758590514891,true
1253679,114501.6,2.0,2179373,2179373,1758590531957,false
1253680,114474.0,3.0,2179374,2179374,1758590636951,false
1253681,114522.9,4.0,2179375,2179375,1758590728694,true
1253682,114522.1,9.0,2179376,2179376,1758590728694,true
1253683,114493.1,63.0,2179377,2179387,1758590761149,false
1253684,114493.1,2.0,2179388,2179389,1758590766908,false
1253685,114495.8,10.0,2179390,2179390,1758590766911,false
1253686,114510.7,2.0,2179391,2179391,1758590870829,true
1253687,114496.4,4.0,2179392,2179393,1758590893511,false
1253688,114501.5,32.0,2179394,2179394,1758590893581,false
1253689,114521.4,2.0,2179395,2179395,1758591004131,false
